time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.628529602178565e-08,9.888240911051024e-07,10.00475005420956,0.0006810469533551355,6.283067790568342,0.0,8.690423573738528e-06,7.770060400932635e-05,0.15832562752484902,0.02767158820465658,-0.0061960690821483925,0.0,455.1343582937565,454.638316534871,454.06511236842687,456.2791569983685
0.12000000000000001,3.966585170940647e-06,2.3047593182666802e-05,10.01424870988508,0.0022310471039377333,6.282470022457382,0.0,0.0001620967123778934,0.0007977972779867754,0.15829605073755412,0.02187763505829275,-0.01882537324587258,0.0,404.27918484643976,403.13994029668515,404.45030508303097,403.9284295188431
0.18,3.450823056049829e-05,0.0001266112746060836,10.028522239284897,0.0030694948105542963,6.281221306683877,0.0,0.0009872879207754714,0.002783157110247044,0.3174562836582283,-0.010649668330322784,-0.025114234580254684,0.0,454.92343512984496,454.41969668347133,457.2788374890413,454.6807451461537
0.23999999999999996,0.0001419695741631627,0.00035710420742077605,10.051379973082732,0.0025811763619163486,6.27940559555322,0.0,0.0027678393961177586,0.004840512133172765,0.44442643947180044,-0.0035379674104736706,-0.04331557692702732,0.0,446.7932844693408,445.3067518646805,444.66229007226156,445.2445182812555
0.3,0.0004155732226608987,0.0007119152193259297,10.085626792621087,0.00255854471461614,6.276417214733458,0.0,0.006693655411474842,0.006972382468034955,0.6970127394149169,0.005294714204788666,-0.06776240120927604,0.0,484.10473270671764,482.2604795764086,482.76574341623643,483.4316555645832
0.36000000000000004,0.0009981115337491671,0.0011931989829362362,10.133859489738073,0.002801574057323286,6.272456622882766,0.0,0.013199782213258189,0.009103474699974082,0.9105940113087353,0.0014379259588256927,-0.0627184589531344,0.0,472.0881589618936,472.47417759474274,472.06225084281164,471.7645132034256
0.4200000000000001,0.002042895740182171,0.0018021247791143932,10.192989026290528,0.0023815211977122885,6.268965881929265,0.0,0.022020128064014204,0.011187432900074153,1.0602585963020377,-0.03485476945196206,-0.05037361810939164,0.0,453.56032048173546,454.5482392592528,453.9094003173316,450.98785677917584
0.48000000000000015,0.003726049717560424,0.0025222426774702007,10.26350184418349,1.8425549869860447e-05,6.266572210247915,0.0,0.034403020954078226,0.012548567631542176,1.2899335100417602,-0.050476084122545076,-0.02451382948988617,0.0,475.9536930119193,477.9276670699207,478.5090263878909,477.3177854808772
0.5400000000000001,0.0061533839368688855,0.0032636486572431775,10.344755825035547,6.279707583367106,6.264629220467661,0.0,0.04667757014704972,0.011827498982025909,1.418378257742453,-0.08226893152996562,-0.05680801201225925,0.0,449.5215429346914,446.8965891113561,448.1232117651663,445.52889154900186
0.6000000000000002,0.009304613816821608,0.003892709210083691,10.430529332186401,6.274569500972447,6.2621025150424,0.0,0.05862252719738022,0.008686360076962607,1.4407029726110714,-0.09339230021580712,-0.02252236683704476,0.0,412.08093682808277,415.09889932067057,414.1147329132241,413.12849901135945
0.6600000000000003,0.013294019073249662,0.00420193519779067,10.52143913168163,6.269985279004864,6.260362354170633,0.0,0.07451673350788704,0.001080346748131567,1.5894191403453433,-0.05483282495661574,-0.04692128189982875,0.0,454.76554464038816,452.8068116322596,453.0516391104977,456.13595159301184
0.7200000000000003,0.018336353274565977,0.003928917344141326,10.623627747025854,6.266915321807442,6.2577634951911065,0.0,0.09387916913094244,-0.010559295488114583,1.8165213453202238,-0.044691677227393464,-0.03693360461655983,0.0,477.92341651575185,478.68307083065633,477.35656414354554,478.1282315500894
0.7800000000000004,0.02453389304819513,0.0029281961058397863,10.73685557422962,6.264199453597055,6.2561885769142265,0.0,0.11289787943662871,-0.023085635328163094,1.9574974557906817,-0.04643502315683319,-0.010641906339912056,0.0,452.36276716993495,454.47459741475916,452.6656122768033,452.524161316745
0.8400000000000004,0.03178942349982956,0.0011967796289373567,10.854408871609012,6.261596335417291,6.255539562874972,0.0,0.129009034708973,-0.03486385368464355,1.9609325017243615,-0.03789530019847914,-0.011169203012628802,0.0,407.77337311910907,407.72638172574545,410.1049350871817,410.86148074479553
0.9000000000000005,0.0402048560015764,-0.0014299092092072638,10.978710313651579,6.25887031491715,6.254969545722169,0.0,0.15156800774379356,-0.0529742300802951,2.182043283943517,-0.0681130399914909,-0.006355509447833243,0.0,477.1308591443233,477.4983262653802,478.88822184106203,476.58300751380534
0.9600000000000005,0.0498398409365239,-0.005087409832187306,11.111095618836694,6.25519302615781,6.254372965116337,0.0,0.16963989845196062,-0.06930396856850007,2.2306939282754343,-0.050290813037236266,-0.018308638230436994,0.0,426.74008481177583,425.71868219391166,423.350766619966,424.8784296678809
1.0200000000000005,0.06072072494773024,-0.009937957755987289,11.251519987841334,6.252134920928238,6.253859429840098,0.0,0.19313316693025048,-0.09273138368824232,2.4496593749852913,-0.05235878118150786,0.006011651879625615,0.0,477.20515310200346,479.05801053966724,477.87073886963987,477.7116256957245
1.0800000000000005,0.0728463628276937,-0.016083246128505927,11.399221383521411,6.24850533685426,6.253960486508262,0.0,0.2110296439930383,-0.11240840184907257,2.4736572773149135,-0.08641725496532304,-0.00879911030453313,0.0,419.35269115795467,418.0641902344637,419.35809879602147,416.3858551619456
1.1400000000000006,0.08605360588227005,-0.023491387570847136,11.548592756879547,6.243191695624958,6.253234201044712,0.0,0.22926550637144547,-0.13500903114262452,2.5052968539104,-0.09323128828112916,-0.019707506863793252,0.0,422.7018597792127,421.7608871192137,420.03388424176075,419.43547551152176
